Año,divisa,M0,M1,M2,M3
1940-12-31,Pesos,0.00018835000000000005,0.00026192000000000007,0.00046727000000000015,0.0005465700000000001
1941-12-31,Pesos,0.00022206000000000005,0.0003334900000000001,0.0005519900000000001,0.0006287500000000002
1942-12-31,Pesos,0.00026841000000000007,0.00039737000000000013,0.0006414100000000001,0.0007251300000000002
1943-12-31,Pesos,0.0003350300000000001,0.00047987000000000013,0.0007559800000000002,0.0008368800000000001
1944-12-31,Pesos,0.0004153100000000001,0.0005904600000000001,0.0009147100000000002,0.0010062400000000003
1945-12-31,Pesos,0.0005043200000000002,0.0006949000000000002,0.0010692000000000004,0.0011660200000000003
1946-12-31,Pesos,0.0004119900000000002,0.0008852800000000002,0.0013553700000000005,0.0014383500000000003
1947-12-31,Pesos,0.0005398700000000001,0.0011039600000000004,0.0016284300000000004,0.0017220200000000005
1948-12-31,Pesos,0.0007745000000000002,0.0015950000000000005,0.0022043600000000007,0.002308610000000001
1949-12-31,Pesos,0.0010265300000000003,0.0019689100000000004,0.0026681300000000008,0.002853010000000001
1950-12-31,Pesos,0.0013322200000000003,0.0024354000000000008,0.003201840000000001,0.003411640000000001
1951-12-31,Pesos,0.0017720000000000006,0.002986410000000001,0.0037878800000000004,0.004040890000000001
1952-12-31,Pesos,0.0021282900000000006,0.0033776400000000003,0.00433805,0.004539320000000001
1953-12-31,Pesos,0.002650670000000001,0.004261160000000001,0.005452450000000002,0.005665000000000002
1954-12-31,Pesos,0.003159830000000001,0.005156580000000002,0.006576500000000002,0.006821190000000003
1955-12-31,Pesos,0.003747520000000001,0.006116150000000002,0.007700580000000002,0.008019930000000002
1956-12-31,Pesos,0.004281020000000001,0.007525400000000002,0.009477870000000003,0.009953380000000001
1957-12-31,Pesos,0.006323200000000003,0.008400200000000002,0.010608270000000003,0.011264200000000004
1958-12-31,Pesos,0.00858013,0.011902360000000004,0.014618730000000007,0.015932240000000004
1959-12-31,Pesos,0.011898450000000003,0.01680411,0.020308670000000004,0.021350590000000006
1960-12-31,Pesos,0.014365760000000003,0.021706710000000008,0.026133710000000008,0.027830490000000003
1961-12-31,Pesos,0.014143780000000007,0.024081870000000005,0.02930188000000001,0.03175086000000001
1962-12-31,Pesos,0.015288240000000007,0.024282900000000007,0.030302900000000008,0.03313728000000001
1963-12-31,Pesos,0.021006780000000006,0.03090494000000001,0.03971490000000001,0.043840400000000015
1964-12-31,Pesos,0.02956540000000001,0.04440242000000001,0.057835830000000005,0.06347474
1965-12-31,Pesos,0.041165550000000016,0.055544120000000016,0.07283246000000002,0.08098441000000002
1966-12-31,Pesos,0.05237296000000002,0.07404731000000003,0.09744183000000002,0.10708450000000003
1967-12-31,Pesos,0.07403000000000003,0.10063000000000002,0.13461000000000004,0.14678000000000005
1968-12-31,Pesos,0.08366000000000001,0.12830000000000003,0.17675000000000005,0.20305000000000006
1969-12-31,Pesos,0.08361000000000002,0.14275000000000004,0.20716000000000007,0.23609000000000002
1970-12-31,Pesos,0.10104999999999999,0.17118999999999998,0.25246999999999997,0.30141999999999997
1971-12-31,Pesos,0.12979,0.22521999999999998,0.32676,0.40707
1972-12-31,Pesos,0.18566,0.31767999999999996,0.47270999999999996,0.64457
1973-12-31,Pesos,0.45128999999999997,0.63981,0.9494499999999999,1.2395699999999998
1974-12-31,Pesos,0.7131,1.04172,1.5049299999999999,1.988
1975-12-31,Pesos,2.3388999999999998,3.03374,3.68837,4.80748
1976-12-31,Pesos,10.29885,11.777909999999999,14.39641,21.74073
1977-12-31,Pesos,36.00093,29.5403,33.47761,69.92040999999999
1978-12-31,Pesos,71.17461,76.22061,87.12496,193.85228999999998
1979-12-31,Pesos,131.75,186.82799999999997,212.54399999999998,551.607
1980-12-31,Pesos,235.92999999999998,379.40099999999995,442.714,1066.6299999999999
1981-12-31,Pesos,513.28,687.7299999999999,808.5999999999999,2229.04
1982-12-31,Pesos,4332.42,2173.0899999999997,2481.3799999999997,5143.86
1983-12-31,Pesos,19764.600000000002,9889.6,13094.900000000001,24728.4
1984-12-31,Pesos,105848.00000000001,58508.40000000001,83225.6,169218.6
1985-12-31,Pesos,515385.9,526440.3,678197.3,1097773.5
1986-12-31,Pesos,694300.6,869025.3156000001,1130058.5156,2109950.4156
1987-12-31,Pesos,1351900.4000000001,1670166.9355000001,2288448.8355,5273375.935500001
1988-12-31,Pesos,6999697.0,7754080.5274,10176780.5274,28363480.527400002
1989-12-31,Pesos,368829700.0,346450766.6,390741866.6,937275266.6000003
1990-12-31,Pesos,3617130000.0,3375144200.0,4948681200.0,7975867200.0
1991-12-31,Pesos,7822885000.0,8710423000.0,11887522000.0,20014626000.0
1992-12-31,Pesos,11010061000.0,12376863000.0,17226605000.0,32290136000.0
1993-12-31,Pesos,14989161000.0,16485630000.0,24678596000.0,47908622000.0
1994-12-31,Pesos,16069123000.0,17299990000.0,26762693000.0,54547346000.0
1995-12-31,Pesos,13050012000.0,17086557000.0,25353656000.0,52333725000.0
1996-12-31,Pesos,14030363000.0,20414345000.0,30630552000.0,62976986000.0
1997-12-31,Pesos,15965670000.0,23838632000.0,36556274000.0,79221745000.0
1998-12-31,Pesos,16370167000.0,24461831000.0,38389289000.0,88086733000.0
1999-12-31,Pesos,16492773517.41,23799939517.41,37486416517.41,90189677517.41
2000-12-31,Pesos,15054195371.93,22801914371.93,36247737371.93,92797812371.93
2001-12-31,Pesos,11981250000.0,19414833000.0,38487801000.0,73053953000.0
2002-12-31,Pesos,29151148000.0,31267876000.0,40640562000.0,83851408000.0
2003-12-31,Pesos,46391026000.0,49417163000.0,65502804000.0,116829749000.0
2004-12-31,Pesos,52477414000.0,64467648000.0,91930530000.0,147498443000.0
2005-12-31,Pesos,54710492000.0,82064315000.0,112200419000.0,177179697000.0
2006-12-31,Pesos,80066309000.0,98458207000.0,133679667000.0,220552608000.0
2007-12-31,Pesos,99278658000.0,123930512000.0,168529432000.0,267815437000.0
2008-12-31,Pesos,109449031000.0,144855921000.0,196265231000.0,305421685000.0
2009-12-31,Pesos,122350171000.0,164192876000.0,229041351000.0,352478589000.0
