Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MONETARY AGREGATES
,,,,,Monetary Statistics Department - Central Bank of the Argentine Republic
,,,,,
,,,,,
,,,,,
Year,Month,Monetary expression (m),,,Monetary base (M0)
,,Description,Quantity of,Equivalence,Total
,,,previous,of the original,
,,,monetary unit,monetary unit,
,,,in the new,with the,
,,,monetary,actual mone-,
,,,unit,tary unit,
Año,Mes,divisa,unidad medida,equivalencia,MO
1940.01,Ene.,m$n,1000000,1.0000000000000002e-13,
1940.02,Feb.,m$n,1000000,1.0000000000000002e-13,
1940.03,Mar.,m$n,1000000,1.0000000000000002e-13,
1940.04,Abr.,m$n,1000000,1.0000000000000002e-13,
1940.05,May.,m$n,1000000,1.0000000000000002e-13,
1940.06,Jun.,m$n,1000000,1.0000000000000002e-13,1838.4
1940.07,Jul.,m$n,1000000,1.0000000000000002e-13,1851.6
1940.08,Ago.,m$n,1000000,1.0000000000000002e-13,1799.6
1940.09,Set.,m$n,1000000,1.0000000000000002e-13,1757.9
1940.1,Oct.,m$n,1000000,1.0000000000000002e-13,1776.9
1940.11,Nov.,m$n,1000000,1.0000000000000002e-13,1850
1940.12,Dic.,m$n,1000000,1.0000000000000002e-13,1883.5
1940.13,,,,,
1941.01,Ene. ,m$n,1000000,1.0000000000000002e-13,1929.6999999999998
1941.02,Feb.,m$n,1000000,1.0000000000000002e-13,1901.8000000000002
1941.03,Mar.,m$n,1000000,1.0000000000000002e-13,1940.2999999999997
1941.04,Abr.,m$n,1000000,1.0000000000000002e-13,1959.8
1941.05,May.,m$n,1000000,1.0000000000000002e-13,2017.3000000000002
1941.06,Jun.,m$n,1000000,1.0000000000000002e-13,2116.3
1941.07,Jul.,m$n,1000000,1.0000000000000002e-13,2168.4
1941.08,Ago.,m$n,1000000,1.0000000000000002e-13,2058.6
1941.09,Set.,m$n,1000000,1.0000000000000002e-13,2069.2000000000003
1941.1,Oct.,m$n,1000000,1.0000000000000002e-13,2109.7999999999997
1941.11,Nov.,m$n,1000000,1.0000000000000002e-13,2058.2999999999997
1941.12,Dic.,m$n,1000000,1.0000000000000002e-13,2220.6
1941.13,,,,,
1942.01,Ene. ,m$n,1000000,1.0000000000000002e-13,2219.1
1942.02,Feb.,m$n,1000000,1.0000000000000002e-13,2301.9
1942.03,Mar.,m$n,1000000,1.0000000000000002e-13,2299.2
1942.04,Abr.,m$n,1000000,1.0000000000000002e-13,2338.9
1942.05,May.,m$n,1000000,1.0000000000000002e-13,2371.1000000000004
1942.06,Jun.,m$n,1000000,1.0000000000000002e-13,2435.4
1942.07,Jul.,m$n,1000000,1.0000000000000002e-13,2434.2
1942.08,Ago.,m$n,1000000,1.0000000000000002e-13,2419.1000000000004
1942.09,Set.,m$n,1000000,1.0000000000000002e-13,2487
1942.1,Oct.,m$n,1000000,1.0000000000000002e-13,2598.2
1942.11,Nov.,m$n,1000000,1.0000000000000002e-13,2581.1
1942.12,Dic.,m$n,1000000,1.0000000000000002e-13,2684.1
1942.13,,,,,
1943.01,Ene. ,m$n,1000000,1.0000000000000002e-13,2696.4
1943.02,Feb.,m$n,1000000,1.0000000000000002e-13,2694.4
1943.03,Mar.,m$n,1000000,1.0000000000000002e-13,2740.7
1943.04,Abr.,m$n,1000000,1.0000000000000002e-13,2737.5
1943.05,May.,m$n,1000000,1.0000000000000002e-13,2784.4
1943.06,Jun.,m$n,1000000,1.0000000000000002e-13,2860.7
1943.07,Jul.,m$n,1000000,1.0000000000000002e-13,2864.4
1943.08,Ago.,m$n,1000000,1.0000000000000002e-13,2936.6
1943.09,Set.,m$n,1000000,1.0000000000000002e-13,2877.5
1943.1,Oct.,m$n,1000000,1.0000000000000002e-13,3147.3
1943.11,Nov.,m$n,1000000,1.0000000000000002e-13,3229.9000000000005
1943.12,Dic.,m$n,1000000,1.0000000000000002e-13,3350.3
1943.13,,,,,
1944.01,Ene.,m$n,1000000,1.0000000000000002e-13,3443.7
1944.02,Feb.,m$n,1000000,1.0000000000000002e-13,3626.1
1944.03,Mar.,m$n,1000000,1.0000000000000002e-13,3702.5
1944.04,Abr.,m$n,1000000,1.0000000000000002e-13,3638.6
1944.05,May.,m$n,1000000,1.0000000000000002e-13,3638.1000000000004
1944.06,Jun.,m$n,1000000,1.0000000000000002e-13,3758.7
1944.07,Jul.,m$n,1000000,1.0000000000000002e-13,3709.5
1944.08,Ago.,m$n,1000000,1.0000000000000002e-13,3880.1
1944.09,Set.,m$n,1000000,1.0000000000000002e-13,3947.3999999999996
1944.1,Oct.,m$n,1000000,1.0000000000000002e-13,3979.3999999999996
1944.11,Nov.,m$n,1000000,1.0000000000000002e-13,4008.8
1944.12,Dic.,m$n,1000000,1.0000000000000002e-13,4153.099999999999
1944.13,,,,,
1945.01,Ene.,m$n,1000000,1.0000000000000002e-13,4149.3
1945.02,Feb.,m$n,1000000,1.0000000000000002e-13,4161.8
1945.03,Mar.,m$n,1000000,1.0000000000000002e-13,4201.9
1945.04,Abr.,m$n,1000000,1.0000000000000002e-13,4468
1945.05,May.,m$n,1000000,1.0000000000000002e-13,4518.5
