Año,divisa,equivalencia,MO
1940-12-31,m$n,1.0000000000000002e-13,1883500000.0
1941-12-31,m$n,1.0000000000000002e-13,2220600000.0
1942-12-31,m$n,1.0000000000000002e-13,2684100000.0
1943-12-31,m$n,1.0000000000000002e-13,3350300000.0
1944-12-31,m$n,1.0000000000000002e-13,4153099999.9999995
1945-12-31,m$n,1.0000000000000002e-13,5043200000.0
1946-12-31,m$n,1.0000000000000002e-13,4119900000.0000005
1947-12-31,m$n,1.0000000000000002e-13,5398700000.0
1948-12-31,m$n,1.0000000000000002e-13,7745000000.0
1949-12-31,m$n,1.0000000000000002e-13,10265300000.0
1950-12-31,m$n,1.0000000000000002e-13,13322200000.0
1951-12-31,m$n,1.0000000000000002e-13,17720000000.0
1952-12-31,m$n,1.0000000000000002e-13,21282900000.0
1953-12-31,m$n,1.0000000000000002e-13,26506700000.0
1954-12-31,m$n,1.0000000000000002e-13,31598300000.0
1955-12-31,m$n,1.0000000000000002e-13,37475200000.0
1956-12-31,m$n,1.0000000000000002e-13,42810200000.0
1957-12-31,m$n,1.0000000000000002e-13,63232000000.00001
1958-12-31,m$n,1.0000000000000002e-13,85801299999.99998
1959-12-31,m$n,1.0000000000000002e-13,118984500000.0
1960-12-31,m$n,1.0000000000000002e-13,143657600000.0
1961-12-31,m$n,1.0000000000000002e-13,141437800000.00003
1962-12-31,m$n,1.0000000000000002e-13,152882400000.00003
1963-12-31,m$n,1.0000000000000002e-13,210067800000.0
1964-12-31,m$n,1.0000000000000002e-13,295654000000.0
1965-12-31,m$n,1.0000000000000002e-13,411655500000.00006
1966-12-31,m$n,1.0000000000000002e-13,523729600000.0
1967-12-31,m$n,1.0000000000000002e-13,740300000000.0
1968-12-31,m$n,1.0000000000000002e-13,836599999999.9999
1969-12-31,m$n,1.0000000000000002e-13,836099999999.9999
1970-12-31,$ Ley,1.0000000000000001e-11,10105000000.0
1971-12-31,$ Ley,1.0000000000000001e-11,12979000000.0
1972-12-31,$ Ley,1.0000000000000001e-11,18566000000.0
1973-12-31,$ Ley,1.0000000000000001e-11,45129000000.0
1974-12-31,$ Ley,1.0000000000000001e-11,71310000000.0
1975-12-31,$ Ley,1.0000000000000001e-11,233890000000.0
1976-12-31,$ Ley,1.0000000000000001e-11,1029885000000.0
1977-12-31,$ Ley,1.0000000000000001e-11,3600093000000.0
1978-12-31,$ Ley,1.0000000000000001e-11,7117461000000.0
1979-12-31,$ Ley,1.0000000000000001e-11,13175000000000.0
1980-12-31,$ Ley,1.0000000000000001e-11,23593000000000.0
1981-12-31,$ Ley,1.0000000000000001e-11,51328000000000.0
1982-12-31,$ Ley,1.0000000000000001e-11,433242000000000.0
1983-12-31,peso argentino,1.0000000000000001e-07,197646000000.0
1984-12-31,peso argentino,1.0000000000000001e-07,1058480000000.0
1985-12-31,Australes,0.0001,5153859000.0
1986-12-31,Australes,0.0001,6943006000.0
1987-12-31,Australes,0.0001,13519004000.0
1988-12-31,Australes,0.0001,69996970000.0
1989-12-31,Australes,0.0001,3688297000000.0
1990-12-31,Pesos,1.0,3617130000.0
1991-12-31,Pesos,1.0,7822885000.0
1992-12-31,Pesos,1.0,11010061000.0
1993-12-31,Pesos,1.0,14989161000.0
1994-12-31,Pesos,1.0,16069123000.0
1995-12-31,Pesos,1.0,13050012000.0
1996-12-31,Pesos,1.0,14030363000.0
1997-12-31,Pesos,1.0,15965670000.0
1998-12-31,Pesos,1.0,16370167000.0
1999-12-31,Pesos,1.0,16492773517.41
2000-12-31,Pesos,1.0,15054195371.93
2001-12-31,Pesos,1.0,11981250000.0
2002-12-31,Pesos,1.0,29151148000.0
2003-12-31,Pesos,1.0,46391026000.0
2004-12-31,Pesos,1.0,52477414000.0
2005-12-31,Pesos,1.0,54710492000.0
2006-12-31,Pesos,1.0,80066309000.0
2007-12-31,Pesos,1.0,99278658000.0
2008-12-31,Pesos,1.0,109449031000.0
2009-12-31,Pesos,1.0,122350171000.0
2010-12-31,Pesos,1.0,160407987000.0
2011-12-31,Pesos,1.0,222921853000.0
2012-12-31,Pesos,1.0,307351516000.0
2013-12-31,Pesos,1.0,377196524000.0
2014-12-31,Pesos,1.0,462564475000.0
2015-12-31,Pesos,1.0,623889517000.0
2016-12-31,Pesos,1.0,821664245000.0
2017-12-31,Pesos,1.0,1001112808000.0
2018-12-31,Pesos,1.0,1408977251000.0
2019-12-31,Pesos,1.0,1895380875000.0
2020-12-31,Pesos,1.0,2470259790000.0
2021-12-31,Pesos,1.0,3654036382000.0
2022-12-31,Pesos,1.0,5203751253000.0
2023-12-31,Pesos,1.0,9607991804000.0
2024-12-31,Pesos,1.0,0.0
