Año,divisa,equivalencia,M2
1940-12-31,m$n,1.0000000000000002e-13,4672700000.0
1941-12-31,m$n,1.0000000000000002e-13,5519900000.0
1942-12-31,m$n,1.0000000000000002e-13,6414100000.0
1943-12-31,m$n,1.0000000000000002e-13,7559799999.999999
1944-12-31,m$n,1.0000000000000002e-13,9147100000.0
1945-12-31,m$n,1.0000000000000002e-13,10692000000.0
1946-12-31,m$n,1.0000000000000002e-13,13553700000.0
1947-12-31,m$n,1.0000000000000002e-13,16284300000.0
1948-12-31,m$n,1.0000000000000002e-13,22043600000.0
1949-12-31,m$n,1.0000000000000002e-13,26681300000.0
1950-12-31,m$n,1.0000000000000002e-13,32018400000.0
1951-12-31,m$n,1.0000000000000002e-13,37878799999.99999
1952-12-31,m$n,1.0000000000000002e-13,43380499999.99999
1953-12-31,m$n,1.0000000000000002e-13,54524500000.0
1954-12-31,m$n,1.0000000000000002e-13,65765000000.0
1955-12-31,m$n,1.0000000000000002e-13,77005800000.0
1956-12-31,m$n,1.0000000000000002e-13,94778700000.0
1957-12-31,m$n,1.0000000000000002e-13,106082700000.0
1958-12-31,m$n,1.0000000000000002e-13,146187300000.00003
1959-12-31,m$n,1.0000000000000002e-13,203086700000.0
1960-12-31,m$n,1.0000000000000002e-13,261337099999.99997
1961-12-31,m$n,1.0000000000000002e-13,293018800000.0
1962-12-31,m$n,1.0000000000000002e-13,303029000000.0
1963-12-31,m$n,1.0000000000000002e-13,397149000000.0
1964-12-31,m$n,1.0000000000000002e-13,578358299999.9999
1965-12-31,m$n,1.0000000000000002e-13,728324600000.0
1966-12-31,m$n,1.0000000000000002e-13,974418300000.0
1967-12-31,m$n,1.0000000000000002e-13,1346100000000.0
1968-12-31,m$n,1.0000000000000002e-13,1767500000000.0
1969-12-31,m$n,1.0000000000000002e-13,2071600000000.0
1970-12-31,$ Ley,1.0000000000000001e-11,25247000000.0
1971-12-31,$ Ley,1.0000000000000001e-11,32676000000.0
1972-12-31,$ Ley,1.0000000000000001e-11,47271000000.0
1973-12-31,$ Ley,1.0000000000000001e-11,94945000000.0
1974-12-31,$ Ley,1.0000000000000001e-11,150493000000.0
1975-12-31,$ Ley,1.0000000000000001e-11,368837000000.0
1976-12-31,$ Ley,1.0000000000000001e-11,1439641000000.0
1977-12-31,$ Ley,1.0000000000000001e-11,3347761000000.0
1978-12-31,$ Ley,1.0000000000000001e-11,8712496000000.0
1979-12-31,$ Ley,1.0000000000000001e-11,21254400000000.0
1980-12-31,$ Ley,1.0000000000000001e-11,44271400000000.0
1981-12-31,$ Ley,1.0000000000000001e-11,80860000000000.0
1982-12-31,$ Ley,1.0000000000000001e-11,248138000000000.0
1983-12-31,peso argentino,1.0000000000000001e-07,130949000000.0
1984-12-31,peso argentino,1.0000000000000001e-07,832256000000.0
1985-12-31,Australes,0.0001,6781973000.0
1986-12-31,Australes,0.0001,11300585156.0
1987-12-31,Australes,0.0001,22884488355.0
1988-12-31,Australes,0.0001,101767805274.0
1989-12-31,Australes,0.0001,3907418666000.0
1990-12-31,Pesos,1.0,4948681200.0
1991-12-31,Pesos,1.0,11887522000.0
1992-12-31,Pesos,1.0,17226605000.0
1993-12-31,Pesos,1.0,24678596000.0
1994-12-31,Pesos,1.0,26762693000.0
1995-12-31,Pesos,1.0,25353656000.0
1996-12-31,Pesos,1.0,30630552000.0
1997-12-31,Pesos,1.0,36556274000.0
1998-12-31,Pesos,1.0,38389289000.0
1999-12-31,Pesos,1.0,37486416517.409996
2000-12-31,Pesos,1.0,36247737371.93
2001-12-31,Pesos,1.0,38487801000.0
2002-12-31,Pesos,1.0,40640562000.0
2003-12-31,Pesos,1.0,65502804000.0
2004-12-31,Pesos,1.0,91930530000.0
2005-12-31,Pesos,1.0,112200419000.0
2006-12-31,Pesos,1.0,133679667000.0
2007-12-31,Pesos,1.0,168529432000.0
2008-12-31,Pesos,1.0,196265231000.0
2009-12-31,Pesos,1.0,229041351000.0
2010-12-31,Pesos,1.0,317628210000.0
2011-12-31,Pesos,1.0,392388205000.0
2012-12-31,Pesos,1.0,530021604000.0
2013-12-31,Pesos,1.0,662411087000.0
2014-12-31,Pesos,1.0,859920572000.0
2015-12-31,Pesos,1.0,1133787379000.0
2016-12-31,Pesos,1.0,1662509156000.0
2017-12-31,Pesos,1.0,2151280144000.0
2018-12-31,Pesos,1.0,3023177908000.0
2019-12-31,Pesos,1.0,3684447379000.0
2020-12-31,Pesos,1.0,6036396530000.0
2021-12-31,Pesos,1.0,9256546623000.0
2022-12-31,Pesos,1.0,15741282846000.0
2023-12-31,Pesos,1.0,47212150647000.0
2024-12-31,Pesos,1.0,0.0
