Año,divisa,M0,M1,M2,M3,GDP (current LCU),CPI (Base Year 2016),GDP (constant LCU),Velocity of M0,Velocity of M1,Velocity of M2,Velocity of M3
1960-12-31,Pesos,0.01436576,0.02170671,0.02613371,0.02783049,0.1315089166,6.1725034253397715e-12,182932009390,9.15433061668857,6.0584453655114014,5.032156421725044,4.7253539768793145
1961-12-31,Pesos,0.01414378,0.02408187,0.02930188,0.03175086,0.1668071896,7.426181926030834e-12,192861271430,11.793678182211544,6.926670960353162,5.692712877125973,5.253627448201403
1962-12-31,Pesos,0.01528824,0.0242829,0.0303029,0.03313728,0.2131359279,9.570257412331696e-12,191218051890,13.941168368628436,8.777202389335706,7.033515864818218,6.431907745596501
1963-12-31,Pesos,0.02100678,0.03090494,0.0397149,0.0438404,0.2534708977,1.2019396758096063e-11,181067821330,12.066147105839162,8.201630473963062,6.382262015011998,5.781673928613789
1964-12-31,Pesos,0.0295654,0.04440242,0.05783583,0.06347474,0.359472096,1.5477932179342847e-11,199410530600,12.158539914900526,8.095777122057763,6.215387520158353,5.6632306961792995
1965-12-31,Pesos,0.04116555,0.05554412,0.07283246,0.08098441,0.4818600118,1.876435144694825e-11,220487093700,11.705419016629195,8.675265929138853,6.616006266985901,5.950034232514628
1966-12-31,Pesos,0.05237296,0.07404731,0.09744183,0.1070845,0.6012399793,2.3568675118995993e-11,219032482640,11.479969421243327,8.11967348037356,6.170245153441802,5.614631242616811
1967-12-31,Pesos,0.07403,0.10063,0.13461,0.14678,0.8004699945,3.040789523545918e-11,226023992090,10.81277852897474,7.954586052866938,5.9465863940271895,5.4535358666030795
1968-12-31,Pesos,0.08366,0.1283,0.17675,0.20305,0.9252899885,3.3532400905607457e-11,236924000870,11.060124175233087,7.211925085736555,5.235021151343706,4.5569563580398915
1969-12-31,Pesos,0.08361,0.14275,0.20716,0.23609,1.0939699411,3.614652988650727e-11,259857121160,13.0841997500299,7.663537240630473,5.280797166924116,4.633698763607098
1970-12-31,Pesos,0.1010499999999999,0.1711899999999999,0.2524699999999999,0.3014199999999999,1.2001999617,3.8484442125989796e-11,267771442210,11.877288092033659,7.010923311525211,4.753831986770708,3.981819261163826
1971-12-31,Pesos,0.12979,0.2252199999999999,0.32676,0.40707,1.664659977,5.0518936608697265e-11,282922301410,12.825795338623932,7.391261775153187,5.094442333822989,4.089370322057631
1972-12-31,Pesos,0.18566,0.3176799999999999,0.4727099999999999,0.64457,2.7786400318,8.297471927945722e-11,287529454900,14.96628262307444,8.746663409090912,5.878107151953631,4.310842936841616
1973-12-31,Pesos,0.4512899999999999,0.63981,0.94945,1.2395699999999998,4.7289600372,1.3735244000381977e-10,295614075960,10.478760967892045,7.391194318938435,4.980736254884407,3.8150003930395227
